Year,	Canada,	Alberta,	British_Columbia,	Manitoba,	New_Brunswick,	Newfoundland_and_Labrador,	Northwest_Territories,	Nova_Scotia,	Nunavut,	Ontario,	Prince_Edward_Island,	Quebec,	Saskatchewan,	Yukon
1980-81,	NA,	NA,	NA,	NA,	NA,	NA,	NA,	NA,	NA,	NA,	NA,	NA,	NA,	NA
1981-82,	-4.27594786148046,	3.93774922463447,	-0.401413674244077,	-1.81371486379074,	-2.42094114086851,	-2.83960092095165,	NA,	-4.64099137407362,	NA,	-1.3452847015433,	0.0927643784786642,	-3.18051645471313,	0.932897980942227,	0.601202404809619
1982-83,	-7.51188884607726,	-1.38033884197201,	-2.13978167268299,	-3.04110738255034,	-5.37059871215235,	-3.38292596528516,	NA,	-3.91143911439114,	NA,	-2.27434814857078,	-2.15146299483649,	-2.81476063677817,	-1.48579657023171,	0.405679513184584
1983-84,	-7.8388875775198,	0.217824457127419,	-2.0828616708173,	-2.80026109660574,	-3.31292761973353,	-5.37776311448367,	NA,	-2.93980835426551,	NA,	-2.0092272790997,	0.294767870302137,	-2.29380651042495,	-2.04736063147509,	2.37580993520518
1984-85,	-8.38649851632047,	1.97705599543024,	-1.94989897404712,	-2.7956242403195,	-3.02931596091205,	-3.89008953380673,	NA,	-3.08828465928164,	NA,	-1.45848531825643,	-0.28673835125448,	-3.76311698406529,	-2.19996526370636,	1.88284518828452
1985-86,	-6.98011791244134,	-1.12512382275973,	-1.76611327233211,	-2.81180104377463,	-2.18506360279032,	-3.73542005019932,	NA,	-2.74132173642929,	NA,	-1.35514139816999,	-1.3840830449827,	-3.1622172852096,	-3.18797489263297,	5.79150579150579
1986-87,	-5.8895992306086,	-6.86713548672717,	-2.0146806184601,	-2.89877618751296,	-3.36872940314903,	-3.14885496183206,	NA,	-1.97927831368346,	NA,	-1.24399608948837,	-0.777977259126272,	-2.47891835083534,	-6.8684841389307,	-0.597014925373134
1987-88,	-4.88572322555468,	-2.24920906933825,	-0.0753378431403324,	-1.45208131655373,	-2.79953341109815,	-2.49177839615482,	NA,	-1.51626477857191,	NA,	-1.06249012853185,	-0.964265456608054,	-1.82592725249769,	-2.9501415197039,	-0.317460317460317
1988-89,	-4.62026861242605,	-3.10311238925739,	1.03877041197973,	-0.633423180592992,	-0.61598440545809,	-2.63741393394795,	NA,	-1.52922590837283,	NA,	-0.569896077774053,	-0.566134843026248,	-1.18729924260899,	-1.70616113744076,	0.485908649173955
1989-90,	-4.33506306295507,	-3.09814199329419,	0.590841949778434,	-0.599915504858471,	-0.185694124637896,	-1.92476902771667,	NA,	-1.57978817821431,	NA,	0.0319333515471709,	-0.38259206121473,	-1.17013372956909,	-1.88397129186603,	0.274223034734918
1990-91,	-4.63255848967012,	-2.45985283849831,	-0.822705182919308,	-1.46375275218136,	-1.31893615479383,	-3.72038168757371,	NA,	-1.46297034211875,	NA,	-1.05830273258028,	-0.911992704058368,	-1.90804199616468,	-1.6815725731321,	-1.06007067137809
1991-92,	-4.63765745133322,	-3.53788184631947,	-2.79657571917071,	-1.24810116188365,	-2.5374525123647,	-2.8365878725591,	NA,	-2.22722036315761,	NA,	-3.81158960374115,	-2.19490781387182,	-2.72584386447467,	-3.88712131691797,	-1.36054421768707
1992-93,	-5.47011686330806,	-4.36885547552705,	-1.65530235061906,	-3.08150293668034,	-1.8328242154957,	-2.68573780613295,	NA,	-3.29541206003311,	NA,	-4.27158304290143,	-3.53600689952566,	-3.11994095062058,	-2.73113120501938,	-5.42372881355932
1993-94,	-5.19557223436575,	-1.66845154067079,	-0.93879554307077,	-1.84562414925134,	-1.76673751328374,	-2.06549118387909,	NA,	-2.88965334744641,	NA,	-3.73494618636721,	-2.84113645458183,	-2.97932086250825,	-1.17616535501168,	1.57232704402516
1994-95,	-4.65709955961474,	1.0496866606983,	-0.222956719015861,	-0.74245236561991,	-0.502544529262086,	-3.58890701468189,	NA,	-1.20813024992222,	NA,	-3.18692382720322,	-0.0391389432485323,	-3.34457576575904,	0.517338937838493,	2.94416243654822
1995-96,	-3.63174673873839,	1.23200428150923,	-0.295141305861061,	0.571719893667383,	0.243006164058796,	-1.75066801805952,	NA,	-1.00903614457831,	NA,	-2.62530616141456,	0.148533234311177,	-2.17790750928383,	0.0711423971243494,	2.55957634598411
1996-97,	-1.01994859898906,	2.48130794536935,	-0.346509702271664,	1.22565943930396,	0.38607780052647,	-1.00762783689613,	NA,	-0.57431428854342,	NA,	-1.99763350585404,	-0.140105078809107,	-1.74116677688997,	1.39002732240437,	-0.987654320987654
1997-98,	0.328275880431696,	2.44735291951992,	-0.143068870098606,	0.173131346762111,	0,	1.24229404072483,	NA,	-2.09776934029426,	NA,	-1.08036546099407,	-0.246565692145122,	-1.11692790455626,	0.11927074459022,	0.338409475465313
1998-99,	0.616933374611681,	1.00234552517775,	-0.815291163295778,	-0.0126879401129227,	-1.13044441981603,	-1.64714172465428,	NA,	-1.18142313959804,	NA,	-0.515637837823916,	0.198807157057654,	0.0626837604286375,	0.0934267600934268,	2.66666666666667
