"Legislature","Election Date","Elected Party"
"19","1979-03-14","Progressive Conservative Association of Alberta"
"20","1982-11-02","Progressive Conservative Association of Alberta"
"21","1986-05-08","Progressive Conservative Association of Alberta"
"22","1989-03-20","Progressive Conservative Association of Alberta"
"23","1993-06-15","Progressive Conservative Association of Alberta"
"24","1997-03-11","Progressive Conservative Association of Alberta"
"25","2001-03-12","Progressive Conservative Association of Alberta"
"26","2004-11-22","Progressive Conservative Association of Alberta"
"27","2008-03-03","Progressive Conservative Association of Alberta"
"28","2012-04-23","Progressive Conservative Association of Alberta"
"29","2015-05-05","Alberta New Democratic Party"
