"Legislature","Election Date","Elected Party"
"31","1977-10-11","The Progressive Conservative Party of Manitoba"
"32","1981-11-17","New Democratic Party of Manitoba"
"33","1986-03-18","New Democratic Party of Manitoba"
"34","1988-04-26","The Progressive Conservative Party of Manitoba"
"35","1990-09-11","The Progressive Conservative Party of Manitoba"
"36","1995-04-25","The Progressive Conservative Party of Manitoba"
"37","1999-09-21","New Democratic Party of Manitoba"
"38","2003-06-03","New Democratic Party of Manitoba"
"39","2007-05-22","New Democratic Party of Manitoba"
"40","2011-10-04","New Democratic Party of Manitoba"
