"Legislature","Election Date","Elected Party"
"29","1978-10-23","Progressive Conservative Party of New Brunswick"
"30","1982-10-12","Progressive Conservative Party of New Brunswick"
"31","1987-10-13","Liberal Party"
"32","1991-09-23","Liberal Party"
"33","1995-09-11","Liberal Party"
"34","1999-06-07","Progressive Conservative Party of New Brunswick"
"35","2003-06-09","Progressive Conservative Party of New Brunswick"
"36","2006-09-18","Liberal Party"
"37","2010-09-27","Progressive Conservative Party of New Brunswick"
"38","2014-09-22","Liberal Party"
