"Legislature","Election Date","Elected Party"
"31","1977-06-09","Progressive Conservative Party of Ontario"
"32","1981-03-19","Progressive Conservative Party of Ontario"
"33","1985-05-02","Progressive Conservative Party of Ontario"
"34","1987-09-10","Ontario Liberal Party"
"35","1990-09-06","New Democratic Party of Ontario"
"36","1995-06-08","Progressive Conservative Party of Ontario"
"37","1999-06-03","Progressive Conservative Party of Ontario"
"38","2003-10-02","Ontario Liberal Party"
"39","2007-10-10","Ontario Liberal Party"
"40","2011-10-06","Ontario Liberal Party"
"41","2014-06-12","Ontario Liberal Party"
