"Legislature","Election Date","Elected Party"
"54","1978-04-24","The Prince Edward Island Liberal Association Inc."
"55","1979-04-23","Progressive Conservative Association of Prince Edward Island"
"56","1982-09-27","Progressive Conservative Association of Prince Edward Island"
"57","1986-04-21","The Prince Edward Island Liberal Association Inc."
"58","1989-05-29","The Prince Edward Island Liberal Association Inc."
"59","1993-03-29","The Prince Edward Island Liberal Association Inc."
"60","1996-11-18","Progressive Conservative Association of Prince Edward Island"
"61","2000-04-17","Progressive Conservative Association of Prince Edward Island"
"62","2003-09-29","Progressive Conservative Association of Prince Edward Island"
"63","2007-05-28","The Prince Edward Island Liberal Association Inc."
"64","2011-10-03","The Prince Edward Island Liberal Association Inc."
"65","2015-05-04","The Prince Edward Island Liberal Association Inc."
