"Legislature","Election Date","Elected Party"
"24","1978-11-20","Yukon Territorial Progressive Conservative Party"
"25","1982-06-07","Yukon Territorial Progressive Conservative Party"
"26","1985-05-13","Yukon New Democratic Party"
"27","1989-02-20","Yukon New Democratic Party"
"28","1992-10-19","Yukon New Democratic Party"
"29","1996-09-30","Yukon New Democratic Party"
"30","2000-04-17","Yukon Liberal Party"
"31","2002-11-04","Yukon Party"
"32","2006-10-10","Yukon Party"
"33","2011-10-11","Yukon Party"
