"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Net debt"
1990-91,	12247,	2096,	14343,	14532,	478,	15010,	0,	-667,	6312
1991-92,	12564,	2198,	14762,	16511,	590,	17101,	0,	-2339,	8843
1992-93,	13967,	2416,	16382,	17122,	736,	17858,	0,	-1476,	10529
1993-94,	15665,	2269,	17934,	17989,	844,	18833,	0,	-899,	11507
1994-95,	17264,	2463,	19726,	19023,	931,	19954,	0,	-228,	11954
1995-96,	17343,	2394,	19737,	19167,	887,	20054,	0,	-318,	12162
1996-97,	17901,	1955,	19856,	19374,	867,	20241,	0,	-385,	12338
1997-98,	18131,	1837,	19968,	19301,	834,	20135,	0,	-167,	12515
1998-99,	22823,	2549,	25372,	23281,	3052,	26333,	0,	-961,	21914
1999-00,	23620,	3180,	26800,	23884,	2932,	26816,	0,	-16,	23172
2000-01,	26393,	3296,	29689,	25459,	2986,	28445,	-52,	1192,	23945
2001-02,	25084,	3320,	28404,	27808,	2770,	30578,	1117,	-1057,	25627
2002-03,	24097,	3823,	27920,	27846,	2553,	30399,	-169,	-2648,	28560
2003-04,	25704,	3621,	29325,	28108,	2446,	30554,	-123,	-1352,	29787
2004-05,	28333,	5232,	33565,	28575,	2305,	30880,	0,	2685,	28123
2005-06,	30303,	5835,	36138,	30258,	2198,	32456,	-710,	2972,	26952
2006-07,	32288,	6397,	38685,	32169,	2270,	34439,	-264,	3982,	24417
2007-08,	34081,	5942,	40023,	34596,	2237,	36833,	-444,	2746,	23811
2008-09,	32725,	5995,	38720,	36507,	2158,	38665,	18,	73,	26160
2009-10,	31051,	6927,	37978,	37593,	2197,	39790,	0,	-1812,	29372
2010-11,	32679,	8009,	40688,	38674,	2252,	40926,	0,	-238,	32026
2011-12,	34090,	7718,	41808,	39663,	2383,	42046,	-1599,	-1837,	35758
2012-13,	35005,	7044,	42049,	40811,	2390,	43201,	0,	-1152,	38016
2013-14,	36226,	7502,	43728,	40893,	2482,	43375,	0,	353,	38777
