"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Transfer Fiscal Stabilization Fund","Transfer Debt Retirement Fund","Reported balance","Net debt"
1990-91,	2983,	1695,	4678,	4536,	501,	5037,	0,	-359,	67,	0,	-292,	4773
1991-92,	3146,	1821,	4967,	4779,	492,	5271,	0,	-304,	-30,	0,	-334,	5216
1992-93,	2882,	1816,	4698,	4905,	559,	5464,	0,	-766,	200,	0,	-566,	6378
1993-94,	3247,	1629,	4876,	4752,	585,	5337,	0,	-461,	30,	0,	-431,	6806
1994-95,	3310,	1895,	5205,	4804,	597,	5401,	0,	-196,	0,	0,	-196,	6901
1995-96,	3789,	1873,	5662,	4913,	592,	5505,	0,	157,	0,	0,	157,	6854
1996-97,	4107,	1716,	5823,	4929,	539,	5468,	0,	355,	-264,	0,	91,	6474
1997-98,	3920,	1884,	5804,	5232,	520,	5752,	0,	52,	100,	-75,	77,	9719
1998-99,	4393,	1560,	5953,	5442,	515,	5957,	0,	-4,	186,	-150,	32,	9926
1999-00,	4335,	2073,	6408,	6042,	465,	6507,	0,	-99,	185,	-75,	11,	10046
2000-01,	4739,	2091,	6830,	6182,	511,	6693,	0,	137,	0,	-96,	41,	9888
2001-02,	4623,	2206,	6829,	6406,	414,	6820,	0,	9,	150,	-96,	63,	10001
2002-03,	4874,	2230,	7104,	6705,	321,	7026,	0,	78,	22,	-96,	4,	10341
2003-04,	5775,	2716,	8491,	8271,	799,	9070,	0,	-579,	0,	0,	-579,	11052
2004-05,	7037,	3156,	10193,	8813,	818,	9631,	0,	562,	0,	0,	562,	11101
2005-06,	7625,	3103,	10728,	9474,	860,	10334,	0,	394,	0,	0,	394,	10952
2006-07,	8113,	3320,	11433,	10155,	793,	10948,	0,	485,	0,	0,	485,	10800
2007-08,	8899,	3597,	12496,	11074,	864,	11938,	0,	558,	0,	0,	558,	10561
2008-09,	8899,	3866,	12765,	11484,	830,	12314,	0,	451,	0,	0,	451,	11480
2009-10,	8724,	3924,	12648,	12092,	756,	12848,	0,	-200,	0,	0,	-200,	11607
2010-11,	9193,	4047,	13240,	12646,	773,	13419,	0,	-179,	0,	0,	-179,	12525
2011-12,	9523,	4332,	13855,	14039,	815,	14854,	0,	-999,	0,	0,	-999,	14511
2012-13,	9833,	3953,	13786,	13527,	839,	14366,	0,	-580,	0,	0,	-580,	15893
2013-14,	10641,	3823,	14464,	14077,	836,	14913,	17,	-432,	0,	0,	-432,	17288
