"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Fiscal Stabilization Fund","Reported balance","Net debt"
1990-91,	2297,	1504,	3801,	3507,	475,	3982,	0,	-182,	0,	-182,	3236
1991-92,	2352,	1455,	3807,	3686,	476,	4162,	0,	-354,	0,	-354,	3603
1992-93,	2268,	1742,	4011,	3737,	538,	4275,	0,	-264,	0,	-264,	5297
1993-94,	2507,	1517,	4024,	3705,	585,	4290,	0,	-266,	0,	-266,	5810
1994-95,	2672,	1626,	4298,	3732,	645,	4377,	0,	-79,	0,	-79,	5889
1995-96,	2803,	1623,	4426,	3791,	595,	4386,	0,	41,	0,	41,	5850
1996-97,	2950,	1521,	4471,	3840,	564,	4405,	0,	66,	0,	66,	5783
1997-98,	2786,	1653,	4439,	3865,	574,	4439,	0,	0,	0,	0,	5788
1998-99,	2325,	2122,	4447,	4034,	616,	4651,	0,	-204,	0,	-204,	5992
1999-00,	2974,	1827,	4801,	4219,	611,	4830,	0,	-30,	0,	-30,	7056
2000-01,	3068,	1795,	4863,	4082,	637,	4719,	0,	143,	-100,	43,	6915
2001-02,	3216,	2035,	5251,	4421,	652,	5073,	0,	179,	-100,	79,	6759
2002-03,	3331,	1930,	5261,	4710,	661,	5371,	0,	-109,	110,	1,	6865
2003-04,	3594,	1918,	5512,	5127,	582,	5709,	0,	-197,	0,	-197,	7067
2004-05,	3689,	2355,	6043,	5241,	580,	5820,	0,	223,	0,	223,	6943
2005-06,	3994,	2393,	6387,	5572,	590,	6162,	0,	225,	0,	225,	6901
2006-07,	4225,	2531,	6756,	5921,	558,	6479,	0,	277,	0,	277,	6761
2007-08,	4470,	2721,	7190,	6374,	576,	6949,	0,	241,	0,	241,	7152
2008-09,	4467,	2764,	7231,	6782,	601,	7383,	0,	-152,	0,	-152,	7608
2009-10,	4180,	2941,	7121,	7209,	607,	7816,	0,	-696,	0,	-696,	8629
2010-11,	4613,	2930,	7543,	7519,	642,	8160,	0,	-617,	0,	-617,	9700
2011-12,	4932,	2874,	7806,	7389,	662,	8051,	0,	-245,	0,	-245,	10126
2012-13,	4787,	3001,	7788,	7635,	660,	8295,	0,	-508,	0,	-508,	11085
2013-14,	4889,	2875,	7764,	7600,	662,	8262,	0,	-499,	0,	-499,	11641
