"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Net debt"
1990-91,	1569,	1398,	2967,	2824,	490,	3314,	0,	-347,	3550
1991-92,	1681,	1427,	3108,	2888,	496,	3384,	0,	-276,	3918
1992-93,	1693,	1500,	3194,	2967,	488,	3455,	0,	-261,	4270
1993-94,	1696,	1462,	3158,	2864,	500,	3364,	0,	-205,	6453
1994-95,	1887,	1710,	3597,	3041,	1004,	4045,	74,	-374,	6831
1995-96,	2076,	1572,	3647,	3115,	822,	3937,	100,	-190,	7121
1996-97,	2132,	1578,	3711,	3092,	819,	3911,	93,	-107,	7254
1997-98,	1981,	2019,	4000,	3131,	865,	3996,	129,	133,	7301
1998-99,	1961,	1834,	3795,	3131,	1008,	4139,	157,	-187,	7851
1999-00,	2134,	1620,	3755,	3285,	883,	4168,	144,	-269,	8087
2000-01,	2144,	1757,	3901,	3430,	951,	4382,	131,	-350,	8437
2001-02,	2243,	1657,	3900,	3572,	942,	4514,	146,	-468,	8932
2002-03,	2360,	1589,	3950,	3765,	979,	4744,	150,	-644,	10616
2003-04,	2651,	1543,	4194,	4151,	982,	5133,	25,	-914,	11487
2004-05,	2799,	1513,	4312,	4032,	940,	4972,	171,	-489,	11888
2005-06,	3498,	1880,	5378,	4409,	947,	5356,	178,	199,	11684
2006-07,	3597,	1743,	5340,	4590,	777,	5367,	181,	154,	11558
2007-08,	5154,	1788,	6942,	4969,	751,	5720,	199,	1421,	10188
2008-09,	5869,	2558,	8427,	5537,	745,	6282,	205,	2350,	7968
2009-10,	5560,	1545,	7106,	6439,	890,	7329,	191,	-33,	8220
2010-11,	6164,	1763,	7927,	6706,	837,	7543,	210,	594,	8255
2011-12,	6949,	1594,	8543,	7048,	789,	7838,	268,	974,	7837
2012-13,	6273,	992,	7265,	6921,	780,	7701,	241,	-195,	8348
2013-14,	6110,	1136,	7246,	7011,	841,	7852,	256,	-349,	9018
