"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Net debt"
1990-91,	163,	879,	1042,	1045,	5,	1050,	0,	-8,	-55
1991-92,	216,	900,	1116,	1140,	4,	1144,	0,	-28,	-31
1992-93,	222,	911,	1133,	1123,	4,	1127,	0,	6,	-56
1993-94,	215,	973,	1188,	1207,	3,	1210,	0,	-22,	-19
1994-95,	214,	1004,	1218,	1244,	0,	1244,	0,	-26,	12
1995-96,	234,	1026,	1260,	1277,	5,	1282,	0,	-22,	28
1996-97,	219,	963,	1182,	1189,	5,	1194,	0,	-12,	21
1997-98,	244,	1066,	1311,	1175,	5,	1180,	0,	131,	-85
1998-99,	203,	1016,	1220,	1253,	0,	1253,	0,	-33,	-43
1999-00,	151,	572,	723,	723,	2,	725,	0,	-2,	36
2000-01,	268,	615,	883,	765,	0,	766,	0,	118,	-66
2001-02,	642,	315,	957,	837,	0,	837,	0,	120,	-127
2002-03,	438,	408,	846,	880,	0,	880,	0,	-34,	-29
2003-04,	-43,	914,	871,	936,	0,	936,	0,	-65,	76
2004-05,	201,	780,	981,	998,	0,	998,	0,	-17,	137
2005-06,	224,	877,	1101,	1065,	0,	1065,	0,	36,	135
2006-07,	324,	879,	1204,	1116,	0,	1116,	0,	88,	105
2007-08,	346,	959,	1306,	1211,	0,	1212,	0,	94,	54
2008-09,	323,	933,	1256,	1297,	0,	1297,	0,	-41,	132
2009-10,	308,	985,	1293,	1337,	1,	1338,	0,	-44,	240
2010-11,	304,	1025,	1329,	1338,	14,	1352,	0,	-23,	504
2011-12,	302,	1099,	1401,	1388,	11,	1400,	0,	1,	598
2012-13,	404,	1216,	1645,	1477,	5,	1482,	0,	163,	491
2013-14,	360,	1306,	1665,	1531,	5,	1535,	0,	130,	NA
