"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Net debt"
1990-91,	2492,	1599,	4091,	3676,	672,	4348,	0,	-257,	4731
1991-92,	2473,	1602,	4075,	3799,	682,	4481,	0,	-406,	5426
1992-93,	2487,	1591,	4078,	3916,	779,	4695,	0,	-617,	7288
1993-94,	2614,	1567,	4181,	3861,	865,	4727,	0,	-546,	8120
1994-95,	2620,	1858,	4478,	3799,	912,	4711,	0,	-233,	8514
1995-96,	2664,	1938,	4603,	3907,	897,	4804,	0,	-201,	8715
1996-97,	2875,	1757,	4632,	3813,	811,	4624,	-124,	-116,	9139
1997-98,	2718,	1927,	4645,	4018,	865,	4884,	-204,	-442,	9290
1998-99,	2855,	2016,	4871,	4414,	1003,	5418,	285,	-261,	10298
1999-00,	3067,	1972,	5039,	4508,	1060,	5568,	-268,	-797,	11231
2000-01,	3230,	2040,	5270,	4434,	1115,	5549,	426,	147,	11370
2001-02,	3395,	2054,	5449,	4555,	1161,	5715,	379,	113,	12144
2002-03,	3565,	1908,	5473,	4737,	1046,	5782,	337,	28,	12226
2003-04,	3926,	2024,	5951,	5196,	1040,	6236,	323,	38,	12328
2004-05,	4075,	2327,	6402,	5604,	1034,	6638,	406,	170,	12305
2005-06,	4491,	2428,	6919,	6118,	988,	7106,	383,	196,	12239
2006-07,	4724,	2570,	7294,	6579,	930,	7508,	397,	182,	12357
2007-08,	5156,	3023,	8179,	7208,	925,	8133,	373,	419,	12115
2008-09,	5188,	2947,	8135,	7648,	867,	8515,	406,	26,	12318
2009-10,	4964,	3240,	8204,	8047,	823,	8870,	397,	-269,	13045
2010-11,	5702,	3155,	8858,	7898,	848,	8746,	474,	585,	12758
2011-12,	5570,	3049,	8619,	8392,	843,	9235,	356,	-259,	13383
2012-13,	5735,	3145,	8880,	8676,	921,	9598,	414,	-304,	13942
2013-14,	5519,	3273,	8792,	8926,	886,	9812,	342,	-679,	14762
