"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Net debt"
1999-00,	64,	677,	742,	670,	0,	670,	0,	72,	-33
2000-01,	94,	704,	798,	736,	0,	736,	0,	62,	-7
2001-02,	84,	695,	778,	776,	0,	776,	0,	2,	25
2002-03,	100,	759,	859,	847,	0,	847,	0,	12,	43
2003-04,	95,	803,	898,	891,	0,	891,	0,	7,	100
2004-05,	88,	881,	969,	914,	0,	914,	0,	55,	94
2005-06,	100,	978,	1078,	969,	0,	969,	0,	109,	12
2006-07,	94,	1176,	1270,	1124,	0,	1124,	0,	146,	-88
2007-08,	134,	1042,	1177,	1155,	0,	1155,	0,	21,	-75
2008-09,	145,	1115,	1260,	1283,	0,	1283,	0,	-23,	-17
2009-10,	146,	1201,	1346,	1283,	0,	1283,	0,	63,	-2
2010-11,	166,	1278,	1444,	1425,	0,	1425,	0,	19,	37
2011-12,	155,	1359,	1513,	1458,	0,	1458,	0,	55,	-22
2012-13,	157,	1463,	1620,	1498,	0,	1498,	0,	122,	-215
2013-14,	145,	1556,	1701,	1657,	0,	1657,	0,	44,	-207
