"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Deficit or surplus","Net debt"
1990-91,	37130,	5762,	42892,	42145,	3776,	45921,	-3029,	38438
1991-92,	34429,	6324,	40753,	47487,	4196,	51683,	-10930,	49368
1992-93,	34253,	7554,	41807,	48942,	5293,	54235,	-12428,	61796
1993-94,	44339,	7071,	51410,	55483,	7129,	62612,	-11202,	80599
1994-95,	46355,	7607,	53962,	56259,	7832,	64091,	-10129,	90728
1995-96,	50017,	7881,	57898,	58223,	8475,	66698,	-8800,	101864
1996-97,	52282,	5778,	58060,	56358,	8607,	64965,	-6905,	108769
1997-98,	56264,	5098,	61362,	56599,	8729,	65328,	-3966,	112735
1998-99,	58529,	4515,	63044,	56030,	9016,	65046,	-2002,	114737
1999-00,	65098,	5885,	70983,	59288,	11027,	70315,	668,	134398
2000-01,	66129,	6129,	72258,	59483,	10873,	70356,	1902,	132496
2001-02,	64796,	7754,	72550,	61838,	10337,	72175,	375,	132121
2002-03,	66044,	8894,	74938,	65127,	9694,	74821,	117,	132647
2003-04,	64655,	9894,	74549,	70428,	9604,	80032,	-5483,	138816
2004-05,	72311,	11881,	84192,	76379,	9368,	85747,	-1555,	140921
2005-06,	77486,	13252,	90738,	81421,	9019,	90440,	298,	152702
2006-07,	83084,	14036,	97120,	86020,	8831,	94851,	2269,	153742
2007-08,	87518,	16597,	104115,	94601,	8914,	103515,	600,	156616
2008-09,	80939,	16593,	97532,	95375,	8566,	103941,	-6409,	169585
2009-10,	77693,	18620,	96313,	106856,	8719,	115575,	-19262,	193589
2010-11,	84134,	23041,	107175,	111706,	9480,	121186,	-14011,	214511
2011-12,	88468,	21305,	109773,	112660,	10082,	122742,	-12969,	235582
2012-13,	91708,	21661,	113369,	112248,	10341,	122589,	-9220,	252088
2013-14,	93634,	22277,	115911,	115792,	10572,	126364,	-10453,	267190
