"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Net debt"
1990-91,	395,	312,	707,	632,	95,	727,	0,	-20,	219
1991-92,	416,	299,	715,	662,	103,	765,	0,	-50,	269
1992-93,	408,	303,	711,	692,	101,	793,	0,	-82,	351
1993-94,	457,	282,	739,	699,	111,	810,	0,	-71,	772
1994-95,	480,	332,	812,	704,	117,	821,	7,	-1,	990
1995-96,	481,	308,	789,	669,	120,	789,	4,	4,	986
1996-97,	513,	287,	800,	692,	118,	810,	7,	-4,	990
1997-98,	496,	292,	788,	702,	102,	804,	9,	-7,	997
1998-99,	502,	350,	852,	750,	101,	852,	6,	6,	990
1999-00,	547,	353,	900,	806,	103,	908,	3,	-5,	1024
2000-01,	568,	383,	952,	855,	108,	963,	0,	-12,	1036
2001-02,	573,	400,	974,	876,	106,	982,	-9,	-17,	1053
2002-03,	628,	341,	969,	895,	103,	998,	-26,	-55,	1178
2003-04,	634,	387,	1021,	988,	106,	1095,	-52,	-125,	1313
2004-05,	673,	444,	1116,	1031,	105,	1136,	-14,	-34,	1330
2005-06,	726,	444,	1170,	1059,	110,	1169,	0,	1,	1323
2006-07,	756,	474,	1231,	1086,	120,	1207,	0,	24,	1312
2007-08,	785,	518,	1303,	1188,	119,	1307,	0,	-4,	1347
2008-09,	832,	558,	1390,	1312,	109,	1420,	0,	-31,	1415
2009-10,	868,	639,	1507,	1477,	104,	1581,	0,	-74,	1581
2010-11,	891,	641,	1532,	1488,	108,	1596,	0,	-63,	1709
2011-12,	956,	631,	1587,	1565,	107,	1671,	0,	-84,	1908
2012-13,	1002,	595,	1597,	1559,	116,	1676,	0,	-79,	2040
2013-14,	969,	623,	1592,	1531,	113,	1644,	0,	-52,	2120
