"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Deficit or surplus","Payments to Generations Fund","Stabilization reserve","Other","Reported balance","Net debt"
1990-91,	26073,	6972,	33045,	31583,	4437,	36020,	-2975,	0,	0,	0,	-2975,	37558
1991-92,	27720,	6747,	34467,	34102,	4666,	38768,	-4301,	0,	0,	0,	-4301,	41885
1992-93,	27561,	7764,	35325,	35599,	4756,	40355,	-5030,	0,	0,	0,	-5030,	46914
1993-94,	28165,	7762,	35927,	35534,	5316,	40850,	-4923,	0,	0,	0,	-4923,	51837
1994-95,	28815,	7494,	36309,	36248,	5882,	42130,	-5821,	0,	0,	0,	-5821,	57677
1995-96,	30000,	8126,	38126,	36039,	6034,	42073,	-3947,	0,	0,	0,	-3947,	61624
1996-97,	30522,	6704,	37226,	34583,	5855,	40438,	-3212,	0,	0,	0,	-3212,	64833
1997-98,	37636,	6461,	44097,	38912,	7342,	46254,	-2157,	0,	0,	0,	-2157,	88597
1998-99,	40325,	8292,	48617,	41304,	7187,	48491,	126,	0,	0,	0,	126,	88810
1999-00,	42802,	6530,	49332,	41952,	7373,	49325,	7,	0,	0,	0,	7,	89162
2000-01,	44756,	8319,	53075,	44092,	7606,	51698,	1377,	0,	-950,	0,	427,	88208
2001-02,	43084,	9476,	52560,	46318,	7261,	53488,	-928,	0,	950,	0,	22,	92772
2002-03,	45667,	9457,	55124,	49059,	7132,	55852,	-728,	0,	0,	0,	-728,	95601
2003-04,	47428,	10120,	57548,	51023,	7241,	57906,	-358,	0,	0,	0,	-358,	97025
2004-05,	50265,	9939,	60204,	53419,	7449,	60868,	-664,	0,	0,	0,	-664,	99042
2005-06,	52641,	11122,	63763,	56167,	7559,	63726,	37,	0,	0,	0,	37,	104683
2006-07,	57639,	11970,	69609,	58893,	8723,	67616,	1993,	-584,	-1300,	0,	109,	124297
2007-08,	58393,	14733,	73126,	62724,	8752,	71476,	1650,	-449,	-1201,	0,	0,	124681
2008-09,	58146,	15081,	73227,	66354,	8131,	74485,	-1258,	-587,	1845,	0,	0,	134237
2009-10,	61494,	17110,	78604,	73700,	7844,	81544,	-2940,	-725,	433,	58,	-3174,	151608
2010-11,	65370,	17493,	82863,	76318,	8935,	85253,	-2390,	-760,	0,	0,	-3150,	159333
2011-12,	69472,	16938,	86410,	78747,	9451,	88198,	-1788,	-840,	0,	0,	-2628,	167700
2012-13,	70480,	17517,	87997,	82549,	9839,	90512,	-2515,	-961,	0,	1876,	-1600,	175487
2013-14,	74847,	18820,	93667,	85038,	10608,	95646,	-1979,	-1121,	0,	0,	-3100,	181965
