"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Total financial balance","Net debt"
1980-81,	8182,	740,	8922,	7496,	22,	7518,	0,	1404,	-77,	-9908
1981-82,	9726,	1145,	10871,	8647,	91,	8738,	0,	2133,	-227,	-8252
1982-83,	9796,	1167,	10963,	11704,	55,	11759,	0,	-796,	-1337,	-7463
1983-84,	10645,	1308,	11953,	11653,	171,	11824,	0,	129,	658,	-7229
1984-85,	11597,	1686,	13283,	11809,	228,	12037,	0,	1246,	987,	-7219
1985-86,	11506,	1788,	13294,	13873,	182,	14055,	0,	-761,	-673,	-6317
1986-87,	7928,	1689,	9617,	13353,	297,	13650,	0,	-4033,	-4891,	-1159
1987-88,	9993,	1912,	11905,	12698,	572,	13270,	0,	-1365,	-1136,	1527
1988-89,	9765,	2135,	11900,	13110,	797,	13907,	0,	-2007,	-1839,	3592
1989-90,	10896,	1943,	12839,	13840,	1115,	14955,	0,	-2116,	-2340,	5947
1990-91,	11820,	2365,	14185,	14735,	1282,	16017,	0,	-1832,	-1616,	5692
1991-92,	11587,	2150,	13737,	15052,	1314,	16366,	0,	-2629,	-968,	7939
1992-93,	11814,	2457,	14271,	16176,	1419,	17595,	91,	-3415,	-3375,	11824
1993-94,	13316,	2090,	15406,	15123,	1654,	16777,	13,	-1384,	-1855,	13379
1994-95,	14252,	1929,	16181,	13497,	1746,	15243,	-20,	958,	1176,	12707
1995-96,	13866,	1748,	15614,	12780,	1683,	14463,	19,	1132,	601,	11607
1996-97,	15396,	1351,	16747,	12796,	1462,	14258,	-38,	2527,	2444,	8709
1997-98,	16671,	1183,	17854,	13873,	1322,	15195,	20,	2639,	2222,	5979
1998-99,	15587,	1335,	16922,	14449,	1379,	15828,	68,	1026,	614,	4876
