"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Total financial balance","Net debt"
1980-81,	4905,	1077,	5982,	6220,	19,	6239,	0,	-257,	-287,	-1588
1981-82,	6057,	1082,	7139,	7306,	17,	7323,	0,	-184,	-25,	-1404
1982-83,	6462,	1216,	7678,	8634,	28,	8662,	0,	-984,	-1250,	-420
1983-84,	6529,	1806,	8335,	9234,	113,	9347,	0,	-1012,	-789,	592
1984-85,	6982,	1825,	8807,	9526,	275,	9801,	0,	-994,	-883,	1586
1985-86,	7304,	1856,	9160,	9785,	342,	10127,	0,	-967,	-861,	2553
1986-87,	7439,	2024,	9463,	10240,	384,	10624,	0,	-1161,	-1729,	3714
1987-88,	8953,	2054,	11007,	10530,	525,	11055,	0,	-48,	-202,	3762
1988-89,	10421,	2149,	12570,	11304,	530,	11834,	0,	736,	659,	3533
1989-90,	11535,	2121,	13656,	12743,	457,	13200,	0,	456,	433,	5538
1990-91,	12140,	2096,	14236,	14532,	478,	15010,	0,	-774,	-792,	6312
1991-92,	12372,	2198,	14570,	16511,	590,	17101,	0,	-2531,	-2013,	8843
1992-93,	13757,	2416,	16172,	17122,	736,	17858,	0,	-1686,	-2285,	10529
1993-94,	15654,	2269,	17923,	17989,	844,	18833,	0,	-910,	-892,	11507
1994-95,	17045,	2463,	19507,	19022,	932,	19954,	0,	-447,	-174,	11954
1995-96,	17305,	2394,	19699,	19167,	888,	20055,	0,	-356,	-210,	12145
1996-97,	18172,	1955,	20127,	19595,	869,	20464,	0,	-337,	-772,	12321
1997-98,	18379,	1837,	20216,	19534,	834,	20368,	0,	-152,	-153,	12473
1998-99,	18104,	2120,	20224,	19892,	876,	20768,	0,	-544,	-1088,	13017
