"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Total financial balance","Net debt"
1980-81,	1134,	834,	1968,	1979,	79,	2058,	0,	-90,	-288,	1064
1981-82,	1343,	838,	2181,	2318,	114,	2432,	0,	-251,	-736,	1436
1982-83,	1490,	919,	2409,	2682,	162,	2844,	0,	-435,	-939,	1857
1983-84,	1759,	1038,	2797,	2986,	240,	3226,	0,	-429,	-1266,	2512
1984-85,	1827,	1098,	2925,	3159,	248,	3407,	0,	-483,	-638,	3144
1985-86,	2010,	1107,	3117,	3332,	313,	3645,	0,	-528,	-1119,	3861
1986-87,	2226,	1161,	3387,	3535,	411,	3946,	0,	-559,	-1248,	4621
1987-88,	2726,	1313,	4039,	3848,	490,	4338,	0,	-300,	-1777,	5162
1988-89,	2975,	1568,	4543,	4045,	439,	4484,	-200,	-141,	-1275,	5249
1989-90,	2949,	1657,	4606,	4261,	487,	4748,	0,	-142,	-1028,	4856
1990-91,	2983,	1695,	4678,	4536,	501,	5037,	67,	-292,	-2168,	5248
1991-92,	3146,	1821,	4967,	4779,	492,	5271,	-30,	-334,	-1990,	5295
1992-93,	2882,	1816,	4698,	4905,	559,	5464,	200,	-566,	-2352,	6179
1993-94,	3247,	1629,	4876,	4752,	584,	5336,	30,	-430,	-2063,	6834
1994-95,	3310,	1895,	5205,	4804,	597,	5401,	0,	-196,	-1700,	7364
1995-96,	3645,	1873,	5517,	4913,	592,	5505,	145,	157,	-986,	6814
1996-97,	3783,	1716,	5499,	4869,	539,	5408,	265,	356,	-1566,	6808
1997-98,	3858,	1884,	5742,	5171,	520,	5691,	25,	76,	-1964,	6773
1998-99,	4383,	1560,	5943,	5363,	515,	5878,	-25,	40,	-2067,	6773
