"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Total financial balance","Net debt"
1980-81,	912,	694,	1606,	1594,	126,	1720,	0,	-114,	0,	896
1981-82,	1029,	806,	1835,	1838,	157,	1995,	0,	-160,	0,	1056
1982-83,	1106,	918,	2024,	2205,	211,	2416,	0,	-392,	-514,	1444
1983-84,	1320,	993,	2313,	2295,	294,	2589,	0,	-276,	-394,	1709
1984-85,	1459,	1052,	2511,	2433,	357,	2790,	0,	-279,	-406,	1967
1985-86,	1631,	1182,	2813,	2626,	400,	3026,	0,	-213,	-330,	2147
1986-87,	1733,	1160,	2893,	2866,	395,	3261,	0,	-368,	-553,	2588
1987-88,	1918,	1261,	3179,	3100,	415,	3515,	0,	-336,	-465,	2919
1988-89,	2167,	1360,	3527,	3179,	427,	3606,	0,	-79,	-250,	2993
1989-90,	2213,	1459,	3672,	3260,	437,	3697,	0,	-25,	-227,	3013
1990-91,	2297,	1504,	3801,	3500,	482,	3982,	0,	-181,	-394,	3236
1991-92,	2352,	1455,	3807,	3686,	476,	4162,	0,	-355,	-569,	3603
1992-93,	2268,	1742,	4010,	3737,	538,	4275,	0,	-265,	-514,	5297
1993-94,	2507,	1517,	4024,	3695,	585,	4280,	0,	-256,	-473,	5552
1994-95,	2672,	1626,	4298,	3721,	645,	4366,	0,	-68,	-304,	5621
1995-96,	2803,	1623,	4426,	3780,	595,	4375,	0,	51,	-384,	5569
1996-97,	2950,	1521,	4471,	3791,	564,	4356,	0,	115,	-108,	5734
1997-98,	2807,	1653,	4459,	3825,	573,	4398,	0,	62,	-446,	5672
1998-99,	2846,	1704,	4550,	3920,	610,	4530,	0,	20,	-504,	5653
