"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Total financial balance","Net debt"
1980-81,	710,	694,	1404,	1289,	202,	1491,	0,	-87,	-192,	1891
1981-82,	770,	782,	1552,	1466,	234,	1700,	0,	-148,	-258,	2042
1982-83,	861,	855,	1716,	1638,	269,	1907,	0,	-191,	-343,	2144
1983-84,	915,	914,	1829,	1852,	303,	2155,	0,	-326,	-411,	2421
1984-85,	960,	986,	1946,	1846,	352,	2198,	0,	-252,	-330,	2718
1985-86,	1075,	1062,	2137,	1983,	407,	2390,	0,	-253,	-353,	3023
1986-87,	1126,	1157,	2283,	2078,	436,	2514,	0,	-231,	-388,	3150
1987-88,	1328,	1218,	2546,	2286,	457,	2743,	0,	-197,	-448,	3289
1988-89,	1350,	1315,	2664,	2436,	454,	2890,	0,	-226,	-482,	3195
1989-90,	1505,	1426,	2931,	2647,	459,	3106,	0,	-175,	-354,	3369
1990-91,	1569,	1398,	2967,	2824,	490,	3314,	0,	-347,	-585,	3550
1991-92,	1681,	1427,	3108,	2888,	496,	3384,	0,	-276,	-760,	3918
1992-93,	1693,	1500,	3194,	2967,	488,	3455,	0,	-261,	-463,	4270
1993-94,	1696,	1462,	3158,	2864,	500,	3364,	0,	-205,	-408,	4692
1994-95,	1751,	1637,	3388,	2979,	536,	3515,	0,	-127,	-362,	4947
1995-96,	1949,	1539,	3487,	2926,	552,	3478,	0,	9,	-91,	4930
1996-97,	1921,	1499,	3420,	2880,	559,	3439,	0,	-19,	-337,	4535
1997-98,	1783,	1941,	3725,	3155,	577,	3731,	0,	-7,	-497,	4351
1998-99,	1822,	1755,	3576,	2986,	587,	3572,	0,	4,	-568,	4915
