"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Total financial balance","Net debt"
1980-81,	64,	256,	320,	312,	0,	312,	0,	8,	7,	-33
1981-82,	91,	294,	385,	372,	0,	372,	0,	13,	6,	-39
1982-83,	81,	363,	444,	454,	0,	454,	0,	-10,	-12,	-27
1983-84,	119,	399,	517,	488,	0,	488,	0,	29,	27,	-54
1984-85,	108,	434,	542,	536,	0,	536,	0,	6,	-13,	-41
1985-86,	133,	501,	634,	612,	0,	612,	0,	22,	19,	-60
1986-87,	139,	555,	694,	693,	0,	693,	0,	1,	5,	-65
1987-88,	120,	649,	769,	798,	0,	798,	0,	-29,	-24,	-41
1988-89,	130,	747,	877,	854,	5,	858,	0,	19,	25,	-66
1989-90,	167,	796,	962,	967,	5,	972,	0,	-10,	-12,	-55
1990-91,	163,	879,	1042,	1045,	5,	1050,	0,	-8,	0,	-55
1991-92,	216,	900,	1116,	1140,	4,	1144,	0,	-28,	-15,	-41
1992-93,	222,	911,	1133,	1123,	4,	1127,	0,	6,	25,	-66
1993-94,	215,	973,	1188,	1221,	3,	1224,	0,	-36,	-49,	-20
1994-95,	214,	1004,	1218,	1240,	4,	1244,	0,	-26,	-31,	11
1995-96,	234,	1026,	1260,	1271,	5,	1276,	0,	-16,	-16,	9
1996-97,	219,	963,	1182,	1189,	5,	1194,	0,	-12,	-15,	21
1997-98,	244,	1066,	1311,	1200,	5,	1205,	0,	105,	102,	-84
1998-99,	199,	1030,	1229,	1246,	5,	1251,	0,	-22,	-22,	-62
