"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Total financial balance","Net debt"
1980-81,	918,	845,	1763,	1760,	184,	1944,	39,	-142,	-322,	987
1981-82,	1017,	963,	1980,	2168,	242,	2410,	48,	-382,	-540,	1356
1982-83,	1177,	998,	2175,	2253,	354,	2607,	61,	-371,	-506,	1875
1983-84,	1327,	1094,	2421,	2396,	407,	2803,	66,	-316,	-424,	2285
1984-85,	1469,	1146,	2615,	2588,	471,	3059,	76,	-368,	-497,	2749
1985-86,	1622,	1140,	2762,	2664,	539,	3203,	88,	-353,	-511,	3235
1986-87,	1746,	1210,	2956,	2777,	558,	3335,	102,	-277,	-495,	3504
1987-88,	1955,	1253,	3208,	2977,	566,	3543,	108,	-227,	-401,	3756
1988-89,	2109,	1438,	3547,	3347,	560,	3907,	118,	-242,	-461,	3947
1989-90,	2245,	1530,	3775,	3602,	571,	4173,	131,	-267,	-500,	4454
1990-91,	2349,	1599,	3948,	3676,	672,	4348,	143,	-257,	-539,	4731
1991-92,	2321,	1602,	3923,	3799,	682,	4481,	152,	-406,	-658,	5426
1992-93,	2335,	1591,	3926,	3916,	779,	4695,	152,	-617,	-594,	7288
1993-94,	2486,	1566,	4052,	3860,	860,	4720,	121,	-547,	-833,	8120
1994-95,	2497,	1855,	4352,	3799,	898,	4697,	110,	-235,	-551,	8514
1995-96,	2530,	1954,	4484,	3904,	897,	4801,	116,	-201,	-539,	8715
1996-97,	2751,	1757,	4508,	3813,	811,	4624,	124,	9,	-229,	8573
1997-98,	2787,	1928,	4715,	4011,	798,	4809,	132,	28,	-249,	8369
1998-99,	2914,	2027,	4941,	4177,	874,	5051,	133,	23,	-18,	8995
