"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Total financial balance","Net debt"
1980-81,	12020,	3025,	15045,	15287,	1055,	16342,	0,	-1297,	-1415,	19512
1981-82,	13983,	3308,	17291,	17862,	1209,	19071,	0,	-1780,	-1842,	21354
1982-83,	15474,	3345,	18819,	20446,	1562,	22008,	0,	-3189,	-2601,	23955
1983-84,	16797,	4161,	20958,	22031,	2080,	24111,	0,	-3153,	-3451,	27406
1984-85,	18810,	4578,	23388,	23530,	2417,	25947,	0,	-2559,	-2635,	30041
1985-86,	21103,	4682,	25785,	25604,	2795,	28399,	0,	-2614,	-2863,	32904
1986-87,	24345,	4870,	29215,	28638,	3211,	31849,	0,	-2634,	-2199,	35103
1987-88,	27174,	4984,	32158,	31171,	3476,	34647,	0,	-2489,	-1878,	36981
1988-89,	31878,	5113,	36991,	34703,	3767,	38470,	0,	-1479,	-2033,	39014
1989-90,	35861,	5365,	41225,	37318,	3817,	41135,	0,	90,	-242,	39256
1990-91,	37130,	5762,	42892,	42145,	3776,	45921,	0,	-3029,	-3001,	42257
1991-92,	34429,	6324,	40753,	47487,	4196,	51683,	0,	-10930,	-10826,	53083
1992-93,	34253,	7554,	41807,	48942,	5293,	54235,	0,	-12428,	-15524,	68607
1993-94,	36603,	7071,	43674,	47747,	7129,	54876,	0,	-11202,	-11900,	79439
1994-95,	38432,	7607,	46039,	48336,	7832,	56168,	0,	-10129,	-10800,	88580
1995-96,	41593,	7880,	49473,	49798,	8475,	58273,	0,	-8800,	-8842,	101396
1996-97,	43672,	5778,	49450,	47748,	8607,	56355,	0,	-6905,	-12464,	101511
1997-98,	47420,	5098,	52518,	47755,	8729,	56484,	0,	-3966,	-9827,	105474
1998-99,	50351,	4508,	54859,	48948,	9072,	58020,	0,	-3161,	-12600,	109040
