"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Total financial balance","Net debt"
1980-81,	159,	163,	322,	302,	34,	336,	0,	-14,	-59,	104
1981-82,	178,	186,	364,	319,	44,	363,	0,	1,	-33,	103
1982-83,	195,	195,	390,	364,	51,	415,	0,	-25,	-50,	129
1983-84,	219,	212,	431,	372,	55,	427,	0,	4,	-32,	125
1984-85,	236,	211,	447,	391,	60,	451,	0,	-4,	-37,	129
1985-86,	252,	227,	479,	437,	62,	499,	0,	-20,	-58,	149
1986-87,	270,	244,	514,	460,	67,	527,	0,	-13,	-61,	163
1987-88,	312,	245,	557,	503,	71,	574,	0,	-17,	-61,	179
1988-89,	344,	282,	626,	556,	81,	637,	0,	-11,	-70,	191
1989-90,	374,	299,	673,	594,	87,	681,	0,	-8,	-59,	199
1990-91,	395,	312,	707,	632,	95,	727,	0,	-20,	-60,	219
1991-92,	416,	299,	715,	662,	103,	765,	0,	-50,	-115,	269
1992-93,	408,	303,	711,	692,	101,	793,	0,	-82,	-108,	351
1993-94,	457,	282,	739,	699,	111,	810,	0,	-71,	-83,	772
1994-95,	480,	332,	812,	704,	117,	821,	7,	-1,	-2,	990
1995-96,	481,	308,	789,	669,	120,	789,	4,	4,	-12,	986
1996-97,	513,	287,	800,	692,	118,	810,	7,	-4,	-47,	990
1997-98,	496,	292,	788,	702,	102,	804,	9,	-7,	-4,	997
1998-99,	487,	357,	844,	748,	102,	850,	9,	3,	21,	994
