"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Total financial balance","Net debt"
1980-81,	10736,	3899,	14635,	16734,	1382,	18116,	0,	-3481,	-2299,	14326
1981-82,	13430,	4479,	17909,	18580,	1950,	20530,	0,	-2621,	-2129,	12569
1982-83,	14643,	5178,	19821,	19984,	2300,	22284,	0,	-2463,	-2213,	15038
1983-84,	15662,	6235,	21897,	21550,	2511,	24061,	0,	-2164,	-2215,	17298
1984-85,	16098,	6247,	22345,	23206,	3012,	26218,	0,	-3873,	-1970,	21455
1985-86,	18030,	6190,	24220,	24339,	3354,	27693,	0,	-3473,	-1671,	25735
1986-87,	19796,	5839,	25635,	25051,	3556,	28607,	0,	-2972,	-1737,	28716
1987-88,	22248,	6131,	28379,	27100,	3675,	30775,	0,	-2396,	-1366,	31115
1988-89,	23647,	6403,	30050,	27952,	3802,	31754,	0,	-1704,	-1005,	32819
1989-90,	24726,	6693,	31419,	29168,	4015,	33183,	0,	-1764,	-816,	34583
1990-91,	26490,	6992,	33482,	32020,	4437,	36457,	0,	-2975,	-1482,	37558
1991-92,	28193,	6766,	34959,	34594,	4666,	39260,	0,	-4301,	-2655,	41885
1992-93,	28154,	7782,	35936,	36210,	4756,	40966,	0,	-5030,	-3913,	46914
1993-94,	28805,	7780,	36585,	36192,	5316,	41508,	0,	-4923,	-3826,	51837
1994-95,	29451,	7510,	36961,	36901,	5874,	42775,	0,	-5814,	-4876,	57670
1995-96,	30641,	8142,	38783,	36696,	6038,	42734,	0,	-3951,	-2948,	61621
1996-97,	31170,	6719,	37889,	35246,	5860,	41106,	0,	-3217,	-2136,	64835
1997-98,	35815,	5990,	41805,	36622,	7360,	43982,	0,	-2177,	-1375,	88404
1998-99,	37738,	8002,	45740,	38482,	7258,	45740,	0,	0,	385,	NA
