"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Total financial balance","Net debt"
1980-81,	1986,	420,	2406,	2151,	22,	2173,	0,	233,	-108,	-952
1981-82,	2135,	529,	2664,	2481,	43,	2524,	0,	140,	-873,	-1092
1982-83,	2283,	408,	2691,	2876,	42,	2918,	0,	-227,	-1116,	-712
1983-84,	2181,	552,	2733,	3008,	57,	3065,	0,	-332,	-489,	-346
1984-85,	2326,	590,	2916,	3193,	102,	3295,	0,	-380,	-891,	65
1985-86,	2406,	643,	3049,	3438,	190,	3628,	0,	-579,	-2069,	666
1986-87,	2012,	789,	2801,	3840,	193,	4033,	0,	-1232,	-1495,	1965
1987-88,	2382,	914,	3296,	3556,	282,	3838,	0,	-542,	-158,	2517
1988-89,	2628,	1067,	3695,	3700,	320,	4020,	0,	-324,	-642,	2885
1989-90,	2927,	1231,	4158,	4014,	522,	4536,	0,	-378,	-776,	3316
1990-91,	3169,	1489,	4658,	4543,	475,	5018,	0,	-360,	-422,	3688
1991-92,	2789,	1260,	4049,	4389,	502,	4891,	0,	-842,	-1068,	5999
1992-93,	3072,	1304,	4376,	4228,	740,	4968,	0,	-592,	-538,	6587
1993-94,	3432,	1248,	4680,	4079,	873,	4952,	0,	-272,	-86,	7769
1994-95,	3928,	1297,	5225,	4215,	882,	5097,	0,	128,	271,	7641
1995-96,	4157,	975,	5132,	4265,	849,	5114,	0,	18,	-191,	7622
1996-97,	4742,	761,	5503,	4302,	794,	5096,	0,	407,	938,	7215
1997-98,	4609,	553,	5162,	4372,	755,	5127,	0,	35,	282,	7180
1998-99,	4661,	946,	5607,	4842,	747,	5589,	0,	18,	543,	7161
