"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Total financial balance","Net debt"
1980-81,	70,	56,	125,	129,	0,	129,	0,	-4,	-4,	1
1981-82,	82,	61,	143,	140,	0,	140,	0,	3,	3,	-2
1982-83,	82,	82,	164,	162,	0,	162,	0,	2,	2,	-4
1983-84,	74,	111,	185,	174,	0,	174,	0,	11,	11,	-15
1984-85,	84,	116,	200,	190,	0,	190,	0,	9,	26,	-41
1985-86,	82,	156,	238,	209,	0,	209,	0,	30,	21,	-62
1986-87,	93,	170,	262,	267,	0,	267,	0,	-4,	15,	-78
1987-88,	92,	184,	276,	279,	0,	279,	0,	-3,	-32,	-45
1988-89,	111,	191,	302,	297,	0,	297,	0,	5,	5,	-50
1989-90,	112,	199,	311,	308,	0,	308,	0,	3,	3,	-54
1990-91,	104,	229,	333,	344,	0,	344,	0,	-12,	-12,	-64
1991-92,	108,	243,	351,	365,	0,	365,	0,	-14,	-14,	-50
1992-93,	89,	267,	356,	419,	1,	420,	0,	-64,	-64,	13
1993-94,	154,	307,	461,	445,	1,	446,	0,	15,	15,	-2
1994-95,	172,	310,	482,	452,	1,	453,	0,	29,	29,	-31
1995-96,	168,	321,	489,	460,	0,	460,	0,	29,	29,	-60
1996-97,	157,	286,	443,	454,	0,	455,	0,	-12,	-12,	-48
1997-98,	153,	302,	455,	451,	0,	451,	0,	4,	4,	-51
1998-99,	143,	362,	505,	497,	0,	497,	0,	8,	8,	-60
