Conservative							,	Conservative
Liberal								,	Liberal
Government							,	Government
Progressive Conservative					,	Conservative
Conservative Party of Canada					,	Conservative
Progressive Conservative Association of Alberta			,	Conservative
Alberta New Democratic Party					,	NDP
British Columbia Social Credit Party				,	Social Credit
BC NDP								,	NDP
British Columbia Liberal Party					,	Liberal
The Progressive Conservative Party of Manitoba			,	Conservative
New Democratic Party of Manitoba				,	NDP
Progressive Conservative Party of New Brunswick			,	Conservative
Liberal Party							,	Liberal
Progressive Conservative Party					,	Conservative
Progressive Conservative Association of Nova Scotia		,	Conservative
Nova Scotia Liberal Party					,	Liberal
Nova Scotia New Democratic Party				,	NDP
Progressive Conservative Party of Ontario			,	Conservative
Ontario Liberal Party						,	Liberal
New Democratic Party of Ontario					,	NDP
The Prince Edward Island Liberal Association Inc.		,	Liberal
Progressive Conservative Association of Prince Edward Island	,	Conservative
Parti québécois							,	Québec
Québec Liberal Party						,	Liberal
New Democratic Party of Saskatchewan				,	NDP
Progressive Conservative Party of Saskatchewan			,	Conservative
Saskatchewan Party						,	Saskatchewan
Yukon Territorial Progressive Conservative Party		,	Conservative
Yukon New Democratic Party					,	NDP
Yukon Liberal Party						,	Liberal
Yukon Party							,	Yukon
